Год;Индекс ВВП
2000;110.0
2001;105.1
2002;104.7
2003;107.3
2004;107.2
2005;106.4
2006;108.2
2007;108.5
2008;105.2
2009;92.2
2010;104.5
2011;104.3
2012;104.0
2013;101.8
2014;100.7
2015;98.0
2016;100.2
2017;101.8
2018;102.8
2019;102.2
2020;97.3
2021;105.9
2022;98.8
2023;103.6
